,City,Date,AVG Temperature °C,MIN Temp °C,MAX Temp °C,Dew point,Humidity,Visibility km,AVG Wind km/h,MAX Wind km/h,Wind gust km/h,Pressure mb,AVG Pressure mb,Rain mm,Phenomenas
73,Verona,2004-03-14,9.3,7.8,12.0,4.9,74.0,4,4,9,0,0.0,0.0,0.0,
74,Verona,2004-03-15,10.3,5.5,15.4,5.1,70.0,2,5,13,0,0.0,0.0,0.0,fog
75,Verona,2004-03-16,12.1,4.0,20.6,2.8,53.0,5,4,9,0,0.0,0.0,0.0,fog
76,Verona,2004-03-17,13.3,5.6,22.0,1.8,46.0,5,3,8,0,0.0,0.0,0.0,
77,Verona,2004-03-18,14.2,6.6,23.0,2.6,45.0,5,4,11,0,0.0,0.0,0.0,
78,Verona,2004-03-19,13.6,6.8,20.2,3.1,49.0,5,6,22,0,0.0,0.0,0.0,
79,Verona,2004-03-20,13.6,9.3,18.2,6.8,63.0,7,12,24,0,0.0,0.0,0.0,
80,Verona,2004-03-21,12.8,9.4,17.4,7.7,71.0,6,6,17,0,0.0,0.0,0.0,fog
81,Verona,2004-03-22,12.5,8.0,18.7,4.1,56.0,7,15,39,63,0.0,0.0,0.0,rain thunderstorm
82,Verona,2004-03-23,7.3,6.6,8.2,5.7,90.0,10,7,24,0,0.0,0.0,13.0,rain
83,Verona,2004-03-24,8.9,5.9,12.6,1.6,60.0,8,8,15,0,0.0,0.0,0.0,
84,Verona,2004-03-25,9.1,5.0,14.2,1.2,58.0,9,9,26,0,0.0,0.0,2.0,rain
85,Verona,2004-03-26,7.8,6.8,9.6,0.4,59.0,11,17,26,34,0.0,0.0,2.0,rain
86,Verona,2004-03-27,8.3,6.0,12.0,-5.5,37.0,11,11,22,0,0.0,0.0,0.0,rain
87,Verona,2004-03-28,9.0,5.0,13.5,-0.7,51.0,10,4,9,0,0.0,0.0,0.0,
88,Verona,2004-03-29,9.8,3.6,16.4,-1.1,47.0,8,6,11,0,0.0,0.0,0.0,
89,Verona,2004-03-30,10.4,2.0,16.2,-1.6,43.0,10,10,31,0,0.0,0.0,0.0,
90,Verona,2004-03-31,11.3,6.0,15.2,-0.5,44.0,8,4,15,0,0.0,0.0,0.0,
91,Verona,2004-04-01,11.5,4.0,18.3,1.7,51.0,6,5,15,0,0.0,0.0,0.0,
92,Verona,2004-04-02,13.9,6.8,20.4,4.0,51.0,6,6,11,0,0.0,0.0,0.0,
93,Verona,2004-04-03,14.3,8.4,19.6,6.4,59.0,5,5,15,0,0.0,0.0,0.0,fog
94,Verona,2004-04-04,13.1,5.0,19.5,8.4,73.0,2,4,13,0,0.0,0.0,0.0,fog
95,Verona,2004-04-05,14.5,11.0,20.4,6.1,57.0,6,11,28,44,0.0,0.0,0.0,fog
96,Verona,2004-04-06,12.3,8.0,16.4,6.3,67.0,8,13,24,42,0.0,0.0,18.0,rain thunderstorm
97,Verona,2004-04-07,8.6,4.0,11.4,1.6,61.0,10,11,18,63,0.0,0.0,0.0,rain thunderstorm
98,Verona,2004-04-08,8.7,1.8,15.0,0.3,55.0,11,9,29,0,0.0,0.0,0.0,rain
99,Verona,2004-04-09,8.1,7.0,10.0,2.3,67.0,11,18,29,47,0.0,0.0,4.8,rain
100,Verona,2004-04-10,9.4,6.0,14.0,1.9,59.0,11,7,21,0,0.0,0.0,0.8,rain
101,Verona,2004-04-11,10.7,2.9,16.4,0.1,48.0,11,8,21,0,0.0,0.0,0.0,
102,Verona,2004-04-12,10.7,8.0,14.8,0.4,49.0,11,12,28,42,0.0,0.0,0.0,rain
103,Verona,2004-04-13,9.3,7.0,12.6,6.4,82.0,7,8,17,0,0.0,0.0,8.9,rain
104,Verona,2004-04-14,11.9,6.7,17.5,5.2,63.0,6,8,15,0,0.0,0.0,0.0,
105,Verona,2004-04-15,11.8,9.8,15.0,3.9,58.0,8,12,24,0,0.0,0.0,0.0,rain
106,Verona,2004-04-16,10.7,9.0,13.0,8.0,83.0,7,14,24,44,0.0,0.0,2.8,rain
107,Verona,2004-04-17,12.8,8.8,17.2,6.7,66.0,10,4,13,0,0.0,0.0,3.1,rain
108,Verona,2004-04-18,13.0,11.0,17.4,10.4,84.0,8,6,15,0,0.0,0.0,3.1,rain thunderstorm
109,Verona,2004-04-19,11.8,10.0,15.0,9.5,86.0,8,13,31,48,0.0,0.0,0.0,rain thunderstorm
110,Verona,2004-04-20,13.3,8.7,20.2,2.4,48.0,11,8,18,0,0.0,0.0,2.0,rain
111,Verona,2004-04-21,15.9,8.0,22.4,4.7,47.0,11,5,11,0,0.0,0.0,0.0,
112,Verona,2004-04-22,17.4,9.4,25.0,5.8,46.0,10,4,11,0,0.0,0.0,0.0,
113,Verona,2004-04-23,18.4,12.0,25.2,5.4,42.0,10,6,11,0,0.0,0.0,0.0,
114,Verona,2004-04-24,17.7,12.0,26.0,8.7,56.0,11,13,42,0,0.0,0.0,2.0,rain thunderstorm
115,Verona,2004-04-25,14.3,7.0,19.0,2.4,45.0,11,8,26,0,0.0,0.0,1.0,
116,Verona,2004-04-26,14.9,8.0,20.8,2.4,43.0,11,5,11,0,0.0,0.0,0.0,
117,Verona,2004-04-27,15.9,8.4,22.3,3.4,43.0,10,5,17,0,0.0,0.0,0.0,
118,Verona,2004-04-28,17.4,10.0,24.0,4.4,42.0,11,12,0,0,0.0,0.0,0.0,
119,Verona,2004-04-29,17.1,11.3,22.0,7.6,54.0,10,21,31,48,0.0,0.0,0.0,rain
120,Verona,2004-04-30,14.9,13.6,16.4,12.7,87.0,9,19,29,0,0.0,0.0,31.0,rain
121,Verona,2004-05-01,16.4,12.0,21.4,7.0,54.0,9,9,24,0,0.0,0.0,2.0,rain
122,Verona,2004-05-02,15.9,9.4,21.7,3.6,44.0,11,6,17,0,0.0,0.0,0.0,
123,Verona,2004-05-03,14.6,12.4,17.6,9.8,73.0,9,12,24,0,0.0,0.0,2.0,rain
124,Verona,2004-05-04,14.2,13.0,17.0,11.3,83.0,9,23,42,61,0.0,0.0,29.0,rain
125,Verona,2004-05-05,13.5,12.0,15.6,12.4,93.0,9,14,22,0,0.0,0.0,5.1,rain thunderstorm
126,Verona,2004-05-06,12.4,8.0,16.6,4.2,57.0,11,9,24,42,0.0,0.0,16.0,rain thunderstorm
127,Verona,2004-05-07,10.3,5.8,16.0,5.2,71.0,11,9,26,0,0.0,0.0,2.0,rain thunderstorm
128,Verona,2004-05-08,12.2,8.6,18.0,3.4,55.0,11,6,37,0,0.0,0.0,1.0,rain
129,Verona,2004-05-09,13.7,8.0,19.2,4.4,53.0,11,8,18,29,0.0,0.0,0.0,rain thunderstorm
130,Verona,2004-05-10,14.3,7.8,20.4,3.8,49.0,10,3,8,0,0.0,0.0,0.0,
131,Verona,2004-05-11,15.7,10.4,22.4,7.5,58.0,9,5,22,0,0.0,0.0,0.0,
132,Verona,2004-05-12,16.4,10.2,22.6,4.8,46.0,11,14,24,0,0.0,0.0,0.0,rain
133,Verona,2004-05-13,15.4,12.0,21.2,9.3,67.0,11,6,13,0,0.0,0.0,1.0,rain thunderstorm
134,Verona,2004-05-14,17.4,12.4,22.4,7.0,50.0,11,7,18,0,0.0,0.0,0.0,
135,Verona,2004-05-15,17.6,13.5,22.6,5.7,46.0,11,9,18,0,0.0,0.0,0.0,rain
136,Verona,2004-05-16,18.4,13.0,25.2,6.8,47.0,11,14,34,52,0.0,0.0,0.0,
137,Verona,2004-05-17,17.6,10.0,24.0,2.1,35.0,10,9,11,0,0.0,0.0,0.0,
138,Verona,2004-05-18,18.7,10.8,25.4,3.9,37.0,10,8,11,0,0.0,0.0,0.0,
139,Verona,2004-05-19,21.1,13.2,29.0,6.8,39.0,10,7,22,0,0.0,0.0,0.0,
140,Verona,2004-05-20,21.9,14.0,28.4,8.9,43.0,9,5,13,0,0.0,0.0,0.0,
141,Verona,2004-05-21,21.8,16.0,28.2,7.2,39.0,10,9,21,0,0.0,0.0,0.0,
142,Verona,2004-05-22,18.0,12.0,23.6,8.8,55.0,10,14,22,0,0.0,0.0,11.9,rain thunderstorm
143,Verona,2004-05-23,15.4,11.0,21.4,5.0,50.0,11,10,35,0,0.0,0.0,10.9,rain
144,Verona,2004-05-24,16.1,9.9,21.0,0.1,34.0,11,7,21,0,0.0,0.0,0.5,rain
145,Verona,2004-05-25,16.4,8.0,23.0,0.7,34.0,10,6,11,0,0.0,0.0,0.0,
146,Verona,2004-05-26,18.2,10.0,24.5,4.0,39.0,11,6,11,0,0.0,0.0,0.0,
147,Verona,2004-05-27,19.8,12.0,26.4,5.8,40.0,11,8,21,0,0.0,0.0,0.0,
148,Verona,2004-05-28,17.7,13.0,21.0,9.1,57.0,10,8,18,0,0.0,0.0,0.0,
149,Verona,2004-05-29,17.9,10.8,23.0,4.6,41.0,11,6,13,0,0.0,0.0,0.0,
150,Verona,2004-05-30,19.4,12.6,25.4,5.3,40.0,11,7,13,0,0.0,0.0,0.0,
151,Verona,2004-05-31,20.5,13.6,25.5,7.7,44.0,11,6,11,0,0.0,0.0,0.0,
152,Verona,2004-06-01,18.6,16.0,21.2,13.6,73.0,9,9,21,0,0.0,0.0,0.8,rain
153,Verona,2004-06-02,20.1,15.0,25.4,11.2,57.0,6,7,29,0,0.0,0.0,0.0,
154,Verona,2004-06-03,19.1,14.6,25.6,11.7,62.0,11,7,41,80,0.0,0.0,4.1,rain thunderstorm
155,Verona,2004-06-04,21.1,14.5,27.4,10.4,50.0,11,5,17,0,0.0,0.0,0.8,rain thunderstorm
156,Verona,2004-06-05,19.9,15.0,26.1,12.0,60.0,10,11,31,0,0.0,0.0,2.0,rain thunderstorm
157,Verona,2004-06-06,19.9,15.0,25.2,8.7,48.0,11,6,15,26,0.0,0.0,9.9,rain thunderstorm
158,Verona,2004-06-07,21.8,15.0,27.0,7.9,41.0,12,6,11,0,0.0,0.0,0.0,
159,Verona,2004-06-08,23.8,16.2,29.4,9.1,39.0,9,9,34,57,0.0,0.0,0.0,rain thunderstorm
160,Verona,2004-06-09,25.5,16.8,32.6,12.4,44.0,9,4,11,0,0.0,0.0,0.0,
161,Verona,2004-06-10,26.9,18.8,34.2,11.7,39.0,8,7,15,0,0.0,0.0,0.0,
162,Verona,2004-06-11,25.3,17.0,32.4,6.9,31.0,10,8,18,0,0.0,0.0,0.0,
163,Verona,2004-06-12,24.3,16.8,30.4,8.8,37.0,11,6,28,0,0.0,0.0,0.0,rain thunderstorm
164,Verona,2004-06-13,18.2,14.0,22.0,7.2,49.0,11,14,28,39,0.0,0.0,11.9,rain thunderstorm
165,Verona,2004-06-14,21.3,17.2,26.2,3.4,31.0,12,13,31,0,0.0,0.0,0.0,
166,Verona,2004-06-15,22.2,14.9,29.0,8.8,42.0,10,6,9,0,0.0,0.0,0.0,
167,Verona,2004-06-16,22.9,17.0,28.9,11.6,49.0,8,7,11,0,0.0,0.0,0.0,
168,Verona,2004-06-17,23.5,20.0,27.2,10.9,45.0,8,12,29,0,0.0,0.0,0.0,
169,Verona,2004-06-18,24.7,18.2,30.1,11.9,45.0,8,5,9,0,0.0,0.0,0.0,
170,Verona,2004-06-19,23.7,18.0,28.6,12.5,49.0,9,13,29,0,0.0,0.0,0.0,rain thunderstorm
171,Verona,2004-06-20,19.3,15.0,23.3,14.6,74.0,9,9,24,0,0.0,0.0,8.9,rain thunderstorm
172,Verona,2004-06-21,19.5,13.0,24.6,9.3,52.0,11,5,37,0,0.0,0.0,5.1,rain
173,Verona,2004-06-22,21.0,14.6,26.4,8.8,46.0,9,7,13,0,0.0,0.0,0.0,
174,Verona,2004-06-23,22.1,16.2,27.1,11.8,52.0,8,5,9,0,0.0,0.0,0.0,
175,Verona,2004-06-24,23.4,16.8,28.4,13.1,52.0,7,7,13,0,0.0,0.0,0.0,
176,Verona,2004-06-25,23.2,19.0,30.0,13.3,54.0,8,14,37,57,0.0,0.0,0.0,rain thunderstorm
177,Verona,2004-06-26,23.0,17.4,28.2,10.1,44.0,11,9,24,0,0.0,0.0,8.9,rain thunderstorm
178,Verona,2004-06-27,25.4,18.4,31.4,12.6,45.0,10,6,17,0,0.0,0.0,0.0,
179,Verona,2004-06-28,26.6,19.8,32.8,12.7,42.0,11,5,15,0,0.0,0.0,0.0,
180,Verona,2004-06-29,25.7,21.8,29.8,12.3,43.0,11,15,24,0,0.0,0.0,0.5,thunderstorm
181,Verona,2004-06-30,25.3,19.5,30.2,11.1,41.0,11,9,22,0,0.0,0.0,0.0,
182,Verona,2004-07-01,24.7,19.6,30.8,14.9,54.0,10,7,26,48,0.0,0.0,0.0,rain thunderstorm
183,Verona,2004-07-02,23.8,19.0,31.4,15.4,59.0,9,15,34,41,0.0,0.0,0.0,
184,Verona,2004-07-03,23.4,18.8,27.2,7.5,36.0,11,13,34,0,0.0,0.0,0.0,
185,Verona,2004-07-04,24.8,18.2,30.4,10.5,41.0,11,8,17,0,0.0,0.0,0.0,
186,Verona,2004-07-05,25.8,19.0,33.0,12.4,43.0,10,7,17,44,0.0,0.0,0.0,rain thunderstorm
187,Verona,2004-07-06,25.6,19.8,31.0,15.2,53.0,8,4,9,0,0.0,0.0,10.9,
188,Verona,2004-07-07,26.3,22.0,30.2,14.5,48.0,10,12,24,0,0.0,0.0,0.0,
189,Verona,2004-07-08,25.7,21.7,30.0,15.6,54.0,10,9,15,0,0.0,0.0,0.8,rain
190,Verona,2004-07-09,24.4,18.0,29.6,10.9,43.0,10,9,21,0,0.0,0.0,0.5,rain thunderstorm
191,Verona,2004-07-10,22.8,16.0,28.5,8.1,39.0,11,8,21,29,0.0,0.0,0.0,
192,Verona,2004-07-11,20.1,16.0,25.1,11.8,59.0,12,10,22,37,0.0,0.0,1.0,rain thunderstorm
193,Verona,2004-07-12,17.9,14.0,22.2,9.2,57.0,11,10,17,0,0.0,0.0,7.1,rain thunderstorm
194,Verona,2004-07-13,21.2,13.0,27.2,9.9,48.0,11,7,21,0,0.0,0.0,0.0,
195,Verona,2004-07-14,21.9,14.0,27.4,15.3,66.0,11,6,11,0,0.0,0.0,0.0,
196,Verona,2004-07-15,23.4,15.8,29.8,16.9,67.0,11,7,17,0,0.0,0.0,0.0,
197,Verona,2004-07-16,24.9,18.6,30.4,18.9,69.0,10,8,13,0,0.0,0.0,0.0,
198,Verona,2004-07-17,25.7,20.0,31.2,20.9,75.0,9,7,9,0,0.0,0.0,0.0,
199,Verona,2004-07-18,26.3,20.2,31.8,19.4,66.0,9,6,11,0,0.0,0.0,0.0,fog
200,Verona,2004-07-19,26.2,20.4,32.7,20.3,70.0,11,6,11,0,0.0,0.0,0.0,
201,Verona,2004-07-20,28.0,21.7,33.4,21.5,68.0,11,6,11,0,0.0,0.0,0.0,
202,Verona,2004-07-21,27.9,21.8,34.2,21.7,69.0,9,5,9,0,0.0,0.0,0.0,
203,Verona,2004-07-22,28.9,22.2,35.0,23.1,71.0,8,7,13,0,0.0,0.0,0.0,
204,Verona,2004-07-23,29.8,22.6,36.0,23.5,69.0,8,7,13,0,0.0,0.0,0.0,
205,Verona,2004-07-24,23.7,20.0,30.2,22.8,95.0,9,13,44,67,0.0,0.0,36.1,rain thunderstorm
206,Verona,2004-07-25,25.4,19.8,31.0,20.1,73.0,11,6,11,0,0.0,0.0,7.1,rain
207,Verona,2004-07-26,24.8,20.8,28.8,20.4,77.0,11,7,22,0,0.0,0.0,0.0,
208,Verona,2004-07-27,22.6,18.0,27.0,17.9,75.0,11,11,24,0,0.0,0.0,0.0,rain thunderstorm
209,Verona,2004-07-28,22.3,16.7,27.2,16.6,70.0,12,7,13,0,0.0,0.0,0.0,
210,Verona,2004-07-29,23.2,17.0,28.4,15.3,61.0,11,7,11,0,0.0,0.0,0.0,
211,Verona,2004-07-30,24.6,18.0,30.0,19.0,71.0,11,7,11,29,0.0,0.0,0.0,
212,Verona,2004-07-31,25.7,18.8,31.2,20.9,75.0,10,6,11,0,0.0,0.0,0.0,
213,Verona,2004-08-01,26.9,20.6,33.4,22.6,77.0,9,5,11,0,0.0,0.0,0.0,
214,Verona,2004-08-02,27.7,22.8,32.4,25.0,85.0,9,4,11,0,0.0,0.0,0.0,
215,Verona,2004-08-03,26.5,20.0,32.2,24.7,90.0,7,6,34,55,0.0,0.0,0.0,rain thunderstorm
216,Verona,2004-08-04,24.1,20.0,29.0,23.0,94.0,9,6,11,0,0.0,0.0,13.0,rain thunderstorm
217,Verona,2004-08-05,25.2,21.0,31.0,22.8,87.0,8,5,15,0,0.0,0.0,0.0,thunderstorm
218,Verona,2004-08-06,24.2,20.0,30.0,22.9,92.0,10,5,17,50,0.0,0.0,0.0,rain thunderstorm
219,Verona,2004-08-07,25.9,19.6,31.4,22.3,81.0,10,7,26,0,0.0,0.0,0.0,thunderstorm
220,Verona,2004-08-08,23.9,20.0,28.7,22.4,91.0,11,7,13,0,0.0,0.0,0.5,rain thunderstorm
221,Verona,2004-08-09,23.6,18.6,28.3,21.9,90.0,10,4,8,0,0.0,0.0,0.0,
222,Verona,2004-08-10,25.5,20.6,30.0,22.9,86.0,9,8,13,0,0.0,0.0,0.0,
223,Verona,2004-08-11,26.1,19.8,31.4,22.8,82.0,11,7,13,0,0.0,0.0,0.0,rain
224,Verona,2004-08-12,26.7,23.0,32.1,24.9,90.0,8,5,13,0,0.0,0.0,0.0,rain
225,Verona,2004-08-13,25.7,20.0,31.5,22.2,81.0,11,8,17,0,0.0,0.0,0.0,
226,Verona,2004-08-14,24.1,18.0,30.0,18.6,71.0,11,3,9,0,0.0,0.0,0.0,
227,Verona,2004-08-15,24.6,17.7,30.6,18.1,67.0,11,7,15,0,0.0,0.0,0.0,
228,Verona,2004-08-16,24.9,18.0,31.2,17.5,64.0,12,7,13,0,0.0,0.0,0.0,
229,Verona,2004-08-17,25.3,18.9,31.6,19.4,70.0,11,11,21,0,0.0,0.0,0.0,
230,Verona,2004-08-18,26.8,20.4,32.4,20.2,67.0,11,8,18,0,0.0,0.0,0.0,
231,Verona,2004-08-19,27.1,20.4,33.8,21.4,71.0,11,7,21,0,0.0,0.0,0.0,
232,Verona,2004-08-20,26.8,21.0,32.4,20.1,67.0,11,11,24,0,0.0,0.0,0.0,
233,Verona,2004-08-21,21.0,16.0,28.0,17.1,78.0,11,8,28,52,0.0,0.0,2.0,rain thunderstorm
234,Verona,2004-08-22,21.9,13.0,30.0,11.5,52.0,11,5,13,0,0.0,0.0,0.0,
235,Verona,2004-08-23,23.6,16.0,30.2,16.9,66.0,11,6,13,0,0.0,0.0,0.0,
236,Verona,2004-08-24,23.5,18.9,29.2,19.4,78.0,12,6,13,0,0.0,0.0,0.0,rain
237,Verona,2004-08-25,23.9,18.2,30.0,19.0,74.0,11,5,11,0,0.0,0.0,0.0,
238,Verona,2004-08-26,22.1,16.8,27.8,18.2,79.0,11,9,29,0,0.0,0.0,7.9,rain thunderstorm
239,Verona,2004-08-27,22.1,14.4,29.4,13.3,57.0,10,6,13,0,0.0,0.0,0.0,
240,Verona,2004-08-28,23.0,14.8,30.1,16.6,67.0,11,7,15,0,0.0,0.0,0.0,
241,Verona,2004-08-29,24.3,17.0,30.0,17.7,67.0,11,5,11,0,0.0,0.0,0.0,
242,Verona,2004-08-30,24.1,19.0,29.8,19.6,76.0,11,5,9,0,0.0,0.0,0.0,
243,Verona,2004-08-31,23.6,18.0,29.2,19.1,76.0,10,8,26,0,0.0,0.0,0.0,
