,LOCALITA,DATA,TMEDIA Â°C,TMIN Â°C,TMAX Â°C,PUNTORUGIADA Â°C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Verona,25/1/2004,"""1,4""","""-1,1""","""5,2""","""-1""","""84""","""3""","""3""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Verona,26/1/2004,"""0,8""","""-1""","""3,2""","""-0,6""","""90""","""2""","""3""","""9""","""0""","""0""","""0""","""0""","""neve nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Verona,27/1/2004,"""2,2""","""0,6""","""5,1""","""0,7""","""90""","""2""","""7""","""18""","""0""","""0""","""0""","""0""","""pioggia neve nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Verona,28/1/2004,"""2,8""","""-1""","""7,2""","""-0,6""","""78""","""4""","""4""","""11""","""0""","""0""","""0""","""0,5""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Verona,29/1/2004,"""0,8""","""-4""","""6""","""-4,1""","""70""","""6""","""7""","""18""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Verona,30/1/2004,"""2,5""","""-2""","""7,8""","""-16,8""","""22""","""11""","""11""","""21""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Verona,31/1/2004,"""1,3""","""-2""","""3,4""","""-6,6""","""56""","""10""","""5""","""9""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Verona,1/2/2004,"""4,7""","""2""","""8,3""","""-1,8""","""63""","""6""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Verona,2/2/2004,"""4,1""","""1""","""8,4""","""-2""","""64""","""5""","""4""","""8""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Verona,3/2/2004,"""3,6""","""-2,8""","""10""","""0,6""","""81""","""3""","""4""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Verona,4/2/2004,"""3,2""","""-4""","""13,2""","""0,6""","""83""","""1""","""2""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Verona,5/2/2004,"""4,8""","""-4""","""15,2""","""-0,7""","""67""","""3""","""4""","""13""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Verona,6/2/2004,"""1,6""","""-2""","""5,4""","""1,3""","""98""","""0""","""3""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Verona,7/2/2004,"""3,5""","""2""","""5,7""","""2,8""","""95""","""1""","""3""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Verona,8/2/2004,"""5,1""","""-3""","""13,2""","""1,3""","""76""","""2""","""7""","""21""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Verona,9/2/2004,"""4""","""-3""","""13,2""","""-4,1""","""55""","""5""","""4""","""13""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Verona,10/2/2004,"""6,1""","""1""","""12,6""","""-12,2""","""25""","""10""","""8""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Verona,11/2/2004,"""5,7""","""-2""","""13,4""","""-2,1""","""57""","""8""","""6""","""21""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Verona,12/2/2004,"""3,9""","""-0,2""","""8,8""","""-3,8""","""57""","""9""","""14""","""24""","""37""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Verona,13/2/2004,"""3,1""","""0""","""6,2""","""-4,8""","""56""","""10""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Verona,14/2/2004,"""2,5""","""-2,8""","""7,2""","""-2,3""","""71""","""5""","""5""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Verona,15/2/2004,"""3,2""","""-2,4""","""10""","""-3,3""","""62""","""4""","""6""","""17""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Verona,16/2/2004,"""4,6""","""-1,2""","""11,2""","""-0,3""","""70""","""3""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Verona,17/2/2004,"""5,7""","""2""","""10""","""0,5""","""69""","""4""","""6""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Verona,18/2/2004,"""3,2""","""-2""","""7,2""","""1,2""","""87""","""2""","""8""","""21""","""0""","""0""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Verona,19/2/2004,"""3,9""","""3""","""5""","""0,5""","""78""","""8""","""40""","""57""","""91""","""0""","""0""","""13""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Verona,20/2/2004,"""4,6""","""3""","""6,2""","""0,4""","""74""","""10""","""18""","""35""","""52""","""0""","""0""","""7,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Verona,21/2/2004,"""5,6""","""3,8""","""9""","""1,2""","""73""","""6""","""17""","""28""","""0""","""0""","""0""","""11,9""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Verona,22/2/2004,"""6,7""","""5,2""","""9,3""","""6,4""","""98""","""4""","""5""","""11""","""0""","""0""","""0""","""16""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Verona,23/2/2004,"""7,1""","""5""","""9,3""","""6,2""","""94""","""3""","""7""","""26""","""0""","""0""","""0""","""11,9""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Verona,24/2/2004,"""3,1""","""1,1""","""5,1""","""-5""","""55""","""9""","""11""","""24""","""0""","""0""","""0""","""10,9""","""pioggia neve """,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Verona,25/2/2004,"""1,9""","""-2""","""5,2""","""-2,8""","""71""","""6""","""3""","""11""","""0""","""0""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Verona,26/2/2004,"""2,4""","""1""","""5""","""-0,2""","""83""","""3""","""5""","""9""","""0""","""0""","""0""","""1""","""pioggia neve """,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Verona,27/2/2004,"""2,2""","""0,8""","""3,5""","""1,7""","""96""","""2""","""7""","""15""","""0""","""0""","""0""","""9,1""","""pioggia neve nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Verona,28/2/2004,"""2,2""","""-0,6""","""5""","""-3,8""","""64""","""6""","""9""","""21""","""37""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Verona,29/2/2004,"""3,1""","""1,7""","""5""","""-4,3""","""58""","""9""","""8""","""15""","""0""","""0""","""0""","""0""","""pioggia neve """,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Verona,1/3/2004,"""3,7""","""-0,6""","""8""","""-8,3""","""41""","""11""","""7""","""18""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Verona,2/3/2004,"""2,6""","""-1,4""","""9""","""-8,2""","""45""","""9""","""6""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Verona,3/3/2004,"""5,2""","""-3,4""","""12""","""-4,1""","""51""","""5""","""5""","""13""","""0""","""1027""","""1018""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Verona,4/3/2004,"""5,9""","""0,8""","""11""","""-4,1""","""49""","""5""","""8""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Verona,5/3/2004,"""6""","""2""","""10,1""","""-1,8""","""57""","""6""","""12""","""18""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Verona,6/3/2004,"""4,5""","""2""","""6""","""2,4""","""86""","""5""","""11""","""17""","""0""","""0""","""0""","""0,8""","""pioggia neve """,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Verona,7/3/2004,"""2,4""","""0,8""","""4""","""2,1""","""98""","""2""","""5""","""11""","""0""","""0""","""0""","""8,9""","""pioggia neve nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Verona,8/3/2004,"""3,4""","""0,4""","""6,1""","""1,4""","""87""","""4""","""6""","""15""","""0""","""0""","""0""","""5,6""","""pioggia neve """,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Verona,9/3/2004,"""5,6""","""1""","""11,4""","""-3,3""","""53""","""7""","""7""","""13""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Verona,10/3/2004,"""4,3""","""0,3""","""6,1""","""-0,2""","""72""","""7""","""24""","""37""","""54""","""0""","""0""","""0,5""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Verona,11/3/2004,"""4,7""","""3,6""","""6,1""","""2,5""","""86""","""11""","""29""","""50""","""72""","""0""","""0""","""17""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Verona,12/3/2004,"""6,8""","""3""","""11""","""-1""","""57""","""8""","""5""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Verona,13/3/2004,"""8,8""","""5,6""","""12,4""","""0,9""","""58""","""4""","""3""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Verona,14/3/2004,"""9,3""","""7,8""","""12""","""4,9""","""74""","""4""","""4""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Verona,15/3/2004,"""10,3""","""5,5""","""15,4""","""5,1""","""70""","""2""","""5""","""13""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Verona,16/3/2004,"""12,1""","""4""","""20,6""","""2,8""","""53""","""5""","""4""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Verona,17/3/2004,"""13,3""","""5,6""","""22""","""1,8""","""46""","""5""","""3""","""8""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Verona,18/3/2004,"""14,2""","""6,6""","""23""","""2,6""","""45""","""5""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Verona,19/3/2004,"""13,6""","""6,8""","""20,2""","""3,1""","""49""","""5""","""6""","""22""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Verona,20/3/2004,"""13,6""","""9,3""","""18,2""","""6,8""","""63""","""7""","""12""","""24""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Verona,21/3/2004,"""12,8""","""9,4""","""17,4""","""7,7""","""71""","""6""","""6""","""17""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Verona,22/3/2004,"""12,5""","""8""","""18,7""","""4,1""","""56""","""7""","""15""","""39""","""63""","""0""","""0""","""0""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Verona,23/3/2004,"""7,3""","""6,6""","""8,2""","""5,7""","""90""","""10""","""7""","""24""","""0""","""0""","""0""","""13""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Verona,24/3/2004,"""8,9""","""5,9""","""12,6""","""1,6""","""60""","""8""","""8""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Verona,25/3/2004,"""9,1""","""5""","""14,2""","""1,2""","""58""","""9""","""9""","""26""","""0""","""0""","""0""","""2""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Verona,26/3/2004,"""7,8""","""6,8""","""9,6""","""0,4""","""59""","""11""","""17""","""26""","""34""","""0""","""0""","""2""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Verona,27/3/2004,"""8,3""","""6""","""12""","""-5,5""","""37""","""11""","""11""","""22""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Verona,28/3/2004,"""9""","""5""","""13,5""","""-0,7""","""51""","""10""","""4""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Verona,29/3/2004,"""9,8""","""3,6""","""16,4""","""-1,1""","""47""","""8""","""6""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Verona,30/3/2004,"""10,4""","""2""","""16,2""","""-1,6""","""43""","""10""","""10""","""31""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Verona,31/3/2004,"""11,3""","""6""","""15,2""","""-0,5""","""44""","""8""","""4""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Verona,1/4/2004,"""11,5""","""4""","""18,3""","""1,7""","""51""","""6""","""5""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Verona,2/4/2004,"""13,9""","""6,8""","""20,4""","""4""","""51""","""6""","""6""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Verona,3/4/2004,"""14,3""","""8,4""","""19,6""","""6,4""","""59""","""5""","""5""","""15""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Verona,4/4/2004,"""13,1""","""5""","""19,5""","""8,4""","""73""","""2""","""4""","""13""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Verona,5/4/2004,"""14,5""","""11""","""20,4""","""6,1""","""57""","""6""","""11""","""28""","""44""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Verona,6/4/2004,"""12,3""","""8""","""16,4""","""6,3""","""67""","""8""","""13""","""24""","""42""","""0""","""0""","""18""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Verona,7/4/2004,"""8,6""","""4""","""11,4""","""1,6""","""61""","""10""","""11""","""18""","""63""","""0""","""0""","""0""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Verona,8/4/2004,"""8,7""","""1,8""","""15""","""0,3""","""55""","""11""","""9""","""29""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Verona,9/4/2004,"""8,1""","""7""","""10""","""2,3""","""67""","""11""","""18""","""29""","""47""","""0""","""0""","""4,8""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Verona,10/4/2004,"""9,4""","""6""","""14""","""1,9""","""59""","""11""","""7""","""21""","""0""","""0""","""0""","""0,8""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Verona,11/4/2004,"""10,7""","""2,9""","""16,4""","""0,1""","""48""","""11""","""8""","""21""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Verona,12/4/2004,"""10,7""","""8""","""14,8""","""0,4""","""49""","""11""","""12""","""28""","""42""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Verona,13/4/2004,"""9,3""","""7""","""12,6""","""6,4""","""82""","""7""","""8""","""17""","""0""","""0""","""0""","""8,9""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Verona,14/4/2004,"""11,9""","""6,7""","""17,5""","""5,2""","""63""","""6""","""8""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Verona,15/4/2004,"""11,8""","""9,8""","""15""","""3,9""","""58""","""8""","""12""","""24""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Verona,16/4/2004,"""10,7""","""9""","""13""","""8""","""83""","""7""","""14""","""24""","""44""","""0""","""0""","""2,8""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Verona,17/4/2004,"""12,8""","""8,8""","""17,2""","""6,7""","""66""","""10""","""4""","""13""","""0""","""0""","""0""","""3,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Verona,18/4/2004,"""13""","""11""","""17,4""","""10,4""","""84""","""8""","""6""","""15""","""0""","""0""","""0""","""3,1""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Verona,19/4/2004,"""11,8""","""10""","""15""","""9,5""","""86""","""8""","""13""","""31""","""48""","""0""","""0""","""0""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Verona,20/4/2004,"""13,3""","""8,7""","""20,2""","""2,4""","""48""","""11""","""8""","""18""","""0""","""0""","""0""","""2""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Verona,21/4/2004,"""15,9""","""8""","""22,4""","""4,7""","""47""","""11""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Verona,22/4/2004,"""17,4""","""9,4""","""25""","""5,8""","""46""","""10""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Verona,23/4/2004,"""18,4""","""12""","""25,2""","""5,4""","""42""","""10""","""6""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Verona,24/4/2004,"""17,7""","""12""","""26""","""8,7""","""56""","""11""","""13""","""42""","""0""","""0""","""0""","""2""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Verona,25/4/2004,"""14,3""","""7""","""19""","""2,4""","""45""","""11""","""8""","""26""","""0""","""0""","""0""","""1""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Verona,26/4/2004,"""14,9""","""8""","""20,8""","""2,4""","""43""","""11""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Verona,27/4/2004,"""15,9""","""8,4""","""22,3""","""3,4""","""43""","""10""","""5""","""17""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Verona,28/4/2004,"""17,4""","""10""","""24""","""4,4""","""42""","""11""","""12""","""0""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Verona,29/4/2004,"""17,1""","""11,3""","""22""","""7,6""","""54""","""10""","""21""","""31""","""48""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Verona,30/4/2004,"""14,9""","""13,6""","""16,4""","""12,7""","""87""","""9""","""19""","""29""","""0""","""0""","""0""","""31""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Verona,1/5/2004,"""16,4""","""12""","""21,4""","""7""","""54""","""9""","""9""","""24""","""0""","""0""","""0""","""2""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Verona,2/5/2004,"""15,9""","""9,4""","""21,7""","""3,6""","""44""","""11""","""6""","""17""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Verona,3/5/2004,"""14,6""","""12,4""","""17,6""","""9,8""","""73""","""9""","""12""","""24""","""0""","""0""","""0""","""2""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Verona,4/5/2004,"""14,2""","""13""","""17""","""11,3""","""83""","""9""","""23""","""42""","""61""","""0""","""0""","""29""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Verona,5/5/2004,"""13,5""","""12""","""15,6""","""12,4""","""93""","""9""","""14""","""22""","""0""","""0""","""0""","""5,1""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Verona,6/5/2004,"""12,4""","""8""","""16,6""","""4,2""","""57""","""11""","""9""","""24""","""42""","""0""","""0""","""16""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Verona,7/5/2004,"""10,3""","""5,8""","""16""","""5,2""","""71""","""11""","""9""","""26""","""0""","""0""","""0""","""2""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Verona,8/5/2004,"""12,2""","""8,6""","""18""","""3,4""","""55""","""11""","""6""","""37""","""0""","""0""","""0""","""1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Verona,9/5/2004,"""13,7""","""8""","""19,2""","""4,4""","""53""","""11""","""8""","""18""","""29""","""0""","""0""","""0""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Verona,10/5/2004,"""14,3""","""7,8""","""20,4""","""3,8""","""49""","""10""","""3""","""8""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Verona,11/5/2004,"""15,7""","""10,4""","""22,4""","""7,5""","""58""","""9""","""5""","""22""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Verona,12/5/2004,"""16,4""","""10,2""","""22,6""","""4,8""","""46""","""11""","""14""","""24""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
